category,title,credits,prerequisites,description
PSYCHOLOGY,PSYC 555 NECC: Seminar and Practica in Clinical Practice ,9 cr,"Prerequisite: Department approval, requires acceptance and enrollment in MCLA-NECC Cooperative Program",Involves working with special needs children under the mentorship of a faculty advisor. Students complete readings and research related to their classroom experiences and write a paper on a topic chosen by the student and approved by the instructor. Each student is assigned teaching responsibilities under the supervision of a faculty mentor. Students participate in a weekly seminar designed to raise issues and discuss topics relevant to the practicum experience and assigned readings.
SKILL,SKIL 096 Mathematics For College ,3 cr,"Prerequisite: Placement based on college testing, SAT scores, faculty or admissions referral","Provides the means for students to develop mathematical literacy by reviewing computational skills and selected algebraic functions. Students will acquire quantitative sense and confidence to prepare for core curriculum or foundation courses in quantitative skills. Course includes initial diagnostic/placement test, which determines specific learning units to be covered. The course is individualized and runs with small group, individual and large group instruction."
SKILL,SKIL 097 Writing For College ,3 cr,"Prerequisite: Placement based on college testing, SAT scores, faculty or admissions referral","Emphasizes components of clear written communication. Prepares students for college level writing requirements. Includes lectures, writing activities, and group and individual discussions."
SOCIOLOGY,SOCI 100 Introduction to Sociology ,3 cr,Prerequisite: None,"Introduces the history, major concepts, and methods of sociology. Examines elements of social organization, sociological analysis of groups and relationships between major institutions of society. Emphasizes the idea of the sociological imagination and its application to contemporary issues. Course attributes: CRCU, CSS, SOCJ."
SOCIOLOGY,SOCI 201 Social Problems ,3 cr,Prerequisite: SOCI 100 or a 100-level Self & Society course,"Studies problems and disorganization in modern industrial society such as: poverty, racism, sexism, environmental pollution, militarism and family issues. Course attributes: CRCU, CSS, SOCJ."
SOCIOLOGY,SOCI 210 Families ,3 cr,Prerequisite: SOCI 100 or a 100-level Self & Society course,"Explores contemporary American families (the forms they take, the functions they serve, the problems they face) within the context of families of other historical time periods, and other cultures. Presents an interdisciplinary examination of such topics as: gender roles, marriage, divorce and blended families, nonmarital lifestyles, parenting, family policy and technology's impact on family life. Course attributes: C&FS, CSS, WMST."
SOCIOLOGY,SOCI 282 Social Constructions of Deviance ,3 cr,Prerequisite: SOCI 100,"Analyzes social definitions of and responses to deviance, as well as explanations of its causes. Examines drug and alcohol use and abuse, mental illness, sexual and gender differences, and other issues frequently considered deviant. Course attributes: CSS."
SOCIOLOGY,SOCI 305 Latinas in US Society ,3 cr,Prerequisite: SOCI 100,"Addresses the modern lives of young Latinas in the U.S. Topics to be discussed include, but are not limited to, family, friendship, romance, appearance, identity, and socioeconomic status. In particular, the subject of ""voice"" or ""voz"" and the strength Latinas gain in society through expressing their opinions and giving testimony will be explored. The subject of the commodification and national/ intercultural expectations of the body of Latinas will also be given much attention. Course attributes: C&FS, CRCU, SOCJ, WMST."
SOCIOLOGY,SOCI 312 Sociological Theory ,3 cr,Prerequisite: SOCI 100 and two SOCI electives,"Explores the meaning of theory and its utility in the sociological enterprise. Examines foundational works of major classical theorists (Comte, Marx, Weber, Durkheim) and introduces contemporary perspectives such as symbolic interactionist, critical, feminist, and postmodern theories."
SOCIOLOGY,SOCI 315 Religion in Modern Society ,3 cr,Prerequisite: SOCI 100,"Studies religion as a social phenomenon in all its diversity in American culture. Emphasis will be placed on understanding religion in a post-modern world. Examines how sociology, distinct from theology, psychology and common sense approaches religion. Explores how religion is socially, culturally and historically constructed."
SOCIOLOGY,SOCI 316 Sociology of Sport ,3 cr,Prerequisite: SOCI 100,"Analyzes sport as a microcosm of society. Specifically focuses on American sport from youth through the professional levels. Studies sport and the following: socialization, business, mass media, ethical dilemmas, race, gender, structural inequality and secular religion. Examines the sociological reasons why contemporary sport is organized and functions as it does."
SOCIOLOGY,SOCI 321 Race and Ethnic Relations ,3 cr,Prerequisite: SOCI 100,"Explores the intersection of race, ethnicity, and issues of diversity in the U.S. and beyond. Begins by establishing what race and ethnicity are in the U.S. Course topics related to race will include family relations, friendships, urban life, gender, socioeconomic status, stereotypes, community, and space/location. Occurrence of racism and related inequality in its various forms is a central discussion thread throughout the course. Course attributes: CRCU, SOCJ."
SOCIOLOGY,SOCI 322 Population ,3 cr,Prerequisite: SOCI 100,"Studies human populations in terms of size, composition, and distribution, and the causes and social consequences of these three characteristics. Examines issues of population policy at community, national, and international levels. Course attributes: ENVI."
SOCIOLOGY,SOCI 325 Contemporary Social Issues Through Film ,3 cr,Prerequisite: SOCI 100,"Examines American society through the medium of film. Students learn how to analyze movies sociologically, to place them in their historical and cultural context, both as shaping forces in society and as reflections of underlying social issues."
