description,title,prerequisites,schedule_type,levels,department
"Topics include: physical properties of solids and fluids, atomic structure, heat, sound, wave motion, electricity and magnetism.",PHYS 1750 - ENGINEERING PHYSICS II,"PHYS1250, Engineering Physics I and MATH1750 Engineering Calculus I. CorequisiteMATH1850, Engineering Calculus II","Laboratory, Lecture",Undergraduate,Sciences
"This course takes a student on a journey of the physics after 1905. Emphasis is placed on the shortcoming of classical physics at the turn of the century leading to the discoveries of the modern era. The special theory of relativity, and the foundations of quantum mechanics serve as the cornerstone for the course. Extensions of these topics will include the modern view of the atom, nuclear physics, wave particle duality of light and mass, space time structure and gps implementation of relativity.",PHYS 2500 - MODERN PHYSICS,"MATH1700 - Calculus I or MATH1750 - Engineering Calculus I or MATH1775 - Integrated Engineering Calculus I, and PHYS1250 - Engineering Physics I",Hybrid,Undergraduate,Sciences
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,PHYS 2990 - INDEPENDENT STUDY PHYSICS,Consent of department head and instructor,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Sciences
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,PHYS 3800 - SPECIAL TOPICS PHYSICS,,"Hybrid,",Undergraduate,Sciences
"Study of the use of power in society. The course introduces the student to the nature of political systems at the local, state, national, and international levels.",POLS 1201 - POLITICAL SCIENCE,ENGL1050 - English Composition,Lecture,Undergraduate,Professional Continuing Educ
"This course covers the concept of citizenship in the community and the nation. Basic political concepts, governing philosophies, and contemporary governmental structures as they pertain to public policy development are studied.",POLS 1350 - AMERICAN GOVERNMENT,ENGL1050 - English Composition and ENGL2050 - Composition and Literature,Lecture,Undergraduate,Professional Continuing Educ
This course allows faculty and a student to work independently on a topic within political science.,POLS 2990 - INDEPENDENT STUDY POLI SCI,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
,POLS 3797 - AP COMP GOV'T & POLITICS,,AP CLEP IB EXAM,Undergraduate,Humanities Social Sciences
Presents topics that are not covered by existing courses and are likely to change from semester to semester. Refer to the Class Schedule for a specific semester for details of offerings for the semester.,POLS 3800 - SPECIAL TOPICS POLI SCI,Completion of an English sequence,"Lecture,",Undergraduate,Humanities Social Sciences
"This course provides students with an overview of American democracy. Basic political concepts, governing philosophies, and contemporary governmental structures as they pertain to public policy development are studied. In addition to addressing the important role of institutions, politics and the role of non-state actors will be a central component of class discussion. Most importantly, this course seeks to empower students as citizens in a democratic society, and develops the concept of citizenship in the community and the nations.",POLS 4102 - AMERICAN GOVERNMENT,completion of an English sequence,"Hybrid,",Undergraduate,Humanities Social Sciences
"A course designed to analyze how nation states interact in the contemporary world. Basic concepts such as sovereignty, national interest and diplomacy will be studied and assessed in relation to the conduct of foreign policy. Case studies will be used to examine and understand the process of modern decision-making and the intelligence and diplomacy upon which it is based. A basic knowledge of modern history or government is recommended.",POLS 4402 - INTERNATIONAL POLITICS,Completion of an English sequence,Lecture,Undergraduate,Humanities Social Sciences
